step,time,component,voltage,current,energy_stored,energy_consumed,total_energy_consumed
39,9.75,load,0.0,0.0,NaN,0.0,0.0
40,10.0,supply,8.0,NaN,NaN,NaN,NaN
40,10.0,storage,2.6374396317148854,0.002145024147314046,0.03478043905470175,NaN,NaN
40,10.0,load,0.0,0.0,NaN,0.0,0.0
41,10.25,supply,8.0,NaN,NaN,NaN,NaN
41,10.25,storage,2.690797998909445,0.0021236808004362223,0.036201969354675366,NaN,NaN
41,10.25,load,0.0,0.0,NaN,0.0,0.0
42,10.5,supply,8.0,NaN,NaN,NaN,NaN
42,10.5,storage,2.743625441479546,0.0021025498234081815,0.03763740281566917,NaN,NaN
42,10.5,load,0.0,0.0,NaN,0.0,0.0
43,10.75,supply,8.0,NaN,NaN,NaN,NaN
43,10.75,storage,2.795927242213468,0.002081629103114613,0.03908604571875704,NaN,NaN
43,10.75,load,0.0,0.0,NaN,0.0,0.0
44,11.0,supply,8.0,NaN,NaN,NaN,NaN
44,11.0,storage,2.8477086313348687,0.0020609165474660524,0.040547222244895556,NaN,NaN
44,11.0,load,0.0,0.0,NaN,0.0,0.0
45,11.25,supply,8.0,NaN,NaN,NaN,NaN
45,11.25,storage,2.8989747870258133,0.0020404100851896746,0.0420202740790568,NaN,NaN
45,11.25,load,0.0,0.0,NaN,0.0,0.0
46,11.5,supply,8.0,NaN,NaN,NaN,NaN
46,11.5,storage,2.9497308359445924,0.002020107665622163,0.04350456002261192,NaN,NaN
46,11.5,load,0.0,0.0,NaN,0.0,0.0
47,11.75,supply,8.0,NaN,NaN,NaN,NaN
47,11.75,storage,2.9999818537383938,0.0020000072585046424,0.04499945561379825,NaN,NaN
47,11.75,load,0.0,0.0,NaN,0.0,0.0
48,12.0,supply,8.0,NaN,NaN,NaN,NaN
48,12.0,storage,3.0497328655508733,0.001980106853779651,0.046504352756105705,NaN,NaN
48,12.0,load,0.0,0.0,NaN,0.0,0.0
49,12.25,supply,8.0,NaN,NaN,NaN,NaN
49,12.25,storage,3.098988846524671,0.0019604044613901316,0.04801865935442156,NaN,NaN
49,12.25,load,0.0,0.0,NaN,0.0,0.0
50,12.5,supply,8.0,NaN,NaN,NaN,NaN
50,12.5,storage,3.1477547222989326,0.0019408981110804271,0.049541798958776154,NaN,NaN
50,12.5,load,0.0,0.0,NaN,0.0,0.0
51,12.75,supply,8.0,NaN,NaN,NaN,NaN
51,12.75,storage,3.196035369501873,0.001921585852199251,0.051073210415534864,NaN,NaN
51,12.75,load,0.0,0.0,NaN,0.0,0.0
52,13.0,supply,8.0,NaN,NaN,NaN,NaN
52,13.0,storage,3.243835616238445,0.001902465753504622,0.052612347525885256,NaN,NaN
52,13.0,load,0.0,0.0,NaN,0.0,0.0
53,13.25,supply,8.0,NaN,NaN,NaN,NaN
53,13.25,storage,3.2911602425731585,0.0018835359029707366,0.054158678711471064,NaN,NaN
53,13.25,load,0.0,0.0,NaN,0.0,0.0
54,13.5,supply,8.0,NaN,NaN,NaN,NaN
54,13.5,storage,3.338013981008083,0.001864794407596767,0.05571168668702715,NaN,NaN
54,13.5,load,0.0,0.0,NaN,0.0,0.0
55,13.75,supply,8.0,NaN,NaN,NaN,NaN
55,13.75,storage,3.384401516956107,0.0018462393932175574,0.05727086813987398,NaN,NaN
55,13.75,load,0.0,0.0,NaN,0.0,0.0
56,14.0,supply,8.0,NaN,NaN,NaN,NaN
56,14.0,storage,3.430327489209481,0.0018278690043162077,0.05883573341613112,NaN,NaN
56,14.0,load,0.0,0.0,NaN,0.0,0.0
57,14.25,supply,8.0,NaN,NaN,NaN,NaN
57,14.25,storage,3.4757964904037033,0.0018096814038385187,0.060405806213513505,NaN,NaN
57,14.25,load,0.0,0.0,NaN,0.0,0.0
58,14.5,supply,8.0,NaN,NaN,NaN,NaN
58,14.5,storage,3.5208130674767837,0.0017916747730092866,0.0619806232805764,NaN,NaN
58,14.5,load,0.0,0.0,NaN,0.0,0.0
59,14.75,supply,8.0,NaN,NaN,NaN,NaN
59,14.75,storage,3.565381722123943,0.0017738473111504228,0.06355973412227747,NaN,NaN
59,14.75,load,0.0,0.0,NaN,0.0,0.0
60,15.0,supply,8.0,NaN,NaN,NaN,NaN
